Date,TSLA,BND,SPY
2015-05-13,16.211999893188477,60.086456298828125,175.17965698242188
2015-05-14,16.273332595825195,60.203922271728516,177.00640869140625
2015-05-15,16.589332580566406,60.44622039794922,177.19821166992188
2015-05-18,16.583332061767578,60.225982666015625,177.74871826171875
2015-05-19,16.47599983215332,60.093780517578125,177.6903533935547
2015-05-20,16.290000915527344,60.093780517578125,177.56521606445312
2015-05-21,16.374666213989258,60.28467559814453,178.08233642578125
2015-05-22,16.51533317565918,60.247982025146484,177.656982421875
2015-05-26,16.497333526611328,60.39482498168945,175.74685668945312
2015-05-27,16.495332717895508,60.42421340942383,177.41505432128906
2015-05-28,16.76333236694336,60.43150329589844,177.21490478515625
2015-05-29,16.719999313354492,60.453575134277344,176.11387634277344
2015-06-01,16.6299991607666,60.252010345458984,176.47250366210938
2015-06-02,16.55666732788086,60.082794189453125,176.29737854003906
2015-06-03,16.599332809448242,59.817893981933594,176.76441955566406
2015-06-04,16.39466667175293,59.96504211425781,175.27139282226562
2015-06-05,16.609333038330078,59.729644775390625,174.97109985351562
2015-06-08,17.086000442504883,59.80317687988281,173.89511108398438
2015-06-09,17.066667556762695,59.62666702270508,173.87008666992188
2015-06-10,16.713333129882812,59.501590728759766,175.9553680419922
2015-06-11,16.76066780090332,59.78116226196289,176.5225830078125
2015-06-12,16.71266746520996,59.737003326416016,175.17129516601562
2015-06-15,16.691999435424805,59.74434280395508,174.42059326171875
2015-06-16,16.874666213989258,59.89887237548828,175.3715362548828
2015-06-17,17.360666275024414,59.92094039916992,175.655029296875
2015-06-18,17.459333419799805,59.87675857543945,177.4817657470703
2015-06-19,17.500667572021484,60.045963287353516,176.69390869140625
2015-06-22,17.319332122802734,59.75906753540039,177.59915161132812
2015-06-23,17.844667434692383,59.619285583496094,177.72491455078125
2015-06-24,17.67799949645996,59.729644775390625,176.4341278076172
2015-06-25,17.91933250427246,59.64870834350586,175.89761352539062
2015-06-26,17.805999755859375,59.53835678100586,175.86412048339844
2015-06-29,17.468000411987305,59.840030670166016,172.17623901367188
2015-06-30,17.884000778198242,59.78116226196289,172.53659057617188
2015-07-01,17.94333267211914,59.635929107666016,173.91957092285156
2015-07-02,18.667999267578125,59.78335952758789,173.7603302001953
2015-07-06,18.648000717163086,59.98978042602539,173.26577758789062
2015-07-07,17.858667373657227,60.04875183105469,174.3554229736328
2015-07-08,16.997333526611328,60.21828842163086,171.4302215576172
2015-07-09,17.19466781616211,60.019256591796875,171.7403564453125
2015-07-10,17.27666664123535,59.73911666870117,173.90283203125
2015-07-13,17.477333068847656,59.59904479980469,175.8222198486328
2015-07-14,17.709999084472656,59.70964431762695,176.58494567871094
2015-07-15,17.542667388916016,59.87918472290039,176.5262908935547
2015-07-16,17.778667449951172,59.87918472290039,177.94277954101562
2015-07-17,18.310667037963867,59.886566162109375,178.0936279296875
2015-07-20,18.817333221435547,59.80548858642578,178.18580627441406
2015-07-21,17.784666061401367,59.91603088378906,177.48175048828125
2015-07-22,17.857999801635742,59.93815231323242,177.16329956054688
2015-07-23,17.81333351135254,60.078224182128906,176.16587829589844
2015-07-24,17.694000244140625,60.1151008605957,174.3386688232422
2015-07-27,16.867332458496094,60.233001708984375,173.3245086669922
2015-07-28,17.654666900634766,60.129844665527344,175.45347595214844
2015-07-29,17.58799934387207,60.078224182128906,176.66041564941406
2015-07-30,17.785999298095703,60.10033416748047,176.70230102539062
2015-07-31,17.74333381652832,60.306705474853516,176.4341278076172
2015-08-03,17.332666397094727,60.44633102416992,175.83897399902344
2015-08-04,17.75200080871582,60.23954772949219,175.49539184570312
